GDP;inflation;rate;dGDP;prev_rate
18467,9;107,44;15,33;0,00;0,00
19751;101,00;12,88;1283,10;15,33
21788,6;101,73;11,17;2037,60;12,88
23079,8;102,28;11,00;1291,20;11,17
18885,1;102,07;11,00;-4194,70;11,00
20452,2;101,21;10,89;1567,10;11,00
22235,1;100,72;10,42;1782,90;10,89
24043,6;101,28;10,00;1808,50;10,42
20586,1;100,97;9,98;-3457,50;10,00
21917,6;101,32;9,37;1331,50;9,98
23718,2;99,38;8,92;1800,60;9,37
25621,2;100,84;8,25;1903,00;8,92
22474,5;100,81;7,58;-3146,70;8,25
24969,8;101,26;7,25;2495,30;7,58
27196,8;100,44;7,29;2227,00;7,25
29220,6;101,70;7,54;2023,80;7,29
24608,6;101,77;7,75;-4612,00;7,54
26628,6;100,67;7,71;2020,00;7,75
28346;99,80;7,27;1717,40;7,71
30025,1;100,77;6,60;1679,10;7,27
24866;101,28;6,10;-5159,10;6,60
23775,4;101,32;5,55;-1090,60;6,10
27786,3;100,24;4,32;4010,90;5,55
31230,5;101,98;4,25;3444,20;4,32
27854,5;102,13;4,28;-3376,00;4,25
31784,4;102,02;4,96;3929,90;4,28
35219,5;101,08;6,30;3435,10;4,96
39869;102,92;7,45;4649,50;6,30
37137,7;109,95;12,93;-2731,30;7,45
37406,2;101,33;13,83;268,50;12,93
39156,1;99,14;8,29;1749,90;13,83
43241;101,33;7,50;4084,90;8,29
36921,5;101,67;7,50;-6319,50;7,50
40737,9;101,06;7,50;3816,40;7,50
46199,7;101,79;10,25;5461,80;7,50
52554,4;102,69;14,54;6354,70;10,25
44133,7;101,95;16,00;-8420,70;14,54
47281,9;101,89;16,00;3148,20;16,00
50857,1;101,83;17,56;3575,20;16,00
58879,4;103,54;20,42;8022,30;17,56
47746,8;102,71;21,00;-11132,60;20,42
